[47, 100, 74, 70, 32, 16, 35, 41][0]
[57, 100, 97, 47, 12, 21, 41, 36][0]
[100, 91, 89, 43, 16, 36, 46, 55][0]
[53, 86, 100, 43, 51, 80, 58, 56][0]
[53, 76, 100, 94, 44, 9, 24, 29][0]
[56, 73, 100, 59, 9, 12, 32, 27][0]
[88, 100, 98, 63, 26, 29, 36, 35][0]
[70, 71, 100, 38, 9, 30, 32, 44][0]
[86, 91, 100, 41, 9, 23, 31, 29][0]
[97, 100, 64, 35, 10, 15, 24, 38][0]
[64, 80, 96, 100, 36, 12, 6, 27][0]
[100, 90, 99, 59, 15, 22, 44, 57][0]
[100, 96, 88, 73, 14, 40, 30, 48][0]
[64, 100, 91, 60, 20, 13, 22, 30][0]
[98, 80, 100, 52, 15, 33, 41, 34][0]
[84, 100, 90, 46, 20, 18, 22, 30][0]
[100, 94, 92, 79, 14, 15, 22, 31][0]
[79, 100, 95, 49, 12, 51, 49, 48][0]
[100, 92, 93, 47, 19, 37, 69, 63][0]
[48, 100, 84, 63, 14, 27, 25, 38][0]
[73, 79, 100, 81, 22, 13, 28, 38][0]
[63, 94, 100, 73, 18, 10, 25, 34][0]
[69, 100, 99, 83, 23, 12, 25, 39][0]
[72, 89, 100, 48, 23, 44, 43, 38][0]
[77, 100, 82, 41, 47, 57, 53, 39][0]
[44, 100, 97, 63, 28, 42, 60, 34][0]
[81, 100, 76, 51, 17, 14, 44, 30][0]
[100, 78, 92, 54, 16, 31, 30, 25][0]
[54, 90, 100, 55, 47, 51, 64, 53][0]
[51, 100, 94, 65, 77, 93, 99, 52][0]
[74, 100, 89, 54, 13, 8, 36, 34][0]
[88, 94, 100, 42, 16, 65, 90, 53][0]
[60, 65, 100, 93, 69, 86, 97, 70][0]
[93, 100, 85, 47, 9, 56, 54, 50][0]
[95, 93, 100, 70, 15, 44, 41, 31][0]
[72, 92, 100, 53, 26, 44, 42, 47][0]
[100, 94, 99, 79, 13, 18, 36, 34][0]
[72, 89, 100, 69, 43, 51, 61, 56][0]
[53, 55, 100, 87, 71, 62, 74, 44][0]
[63, 100, 71, 41, 16, 21, 30, 34][0]
[52, 73, 100, 81, 13, 28, 32, 36][0]
[76, 100, 89, 63, 10, 18, 23, 29][0]
[56, 100, 94, 70, 18, 23, 35, 33][0]
[82, 100, 93, 52, 26, 33, 47, 38][0]
[80, 90, 100, 44, 43, 52, 54, 34][0]
[71, 100, 88, 57, 21, 40, 32, 31][0]
[95, 100, 89, 41, 8, 17, 34, 32][0]
[81, 96, 100, 65, 13, 22, 37, 28][0]
[52, 67, 100, 85, 78, 95, 92, 50][0]
[87, 90, 100, 43, 16, 23, 30, 29][0]
[39, 60, 73, 95, 100, 89, 60, 30][1]
[46, 87, 100, 87, 91, 82, 78, 41][1]
[39, 66, 87, 100, 93, 88, 89, 55][1]
[41, 61, 94, 100, 96, 90, 90, 61][1]
[45, 84, 93, 89, 79, 100, 80, 32][1]
[33, 39, 97, 100, 84, 93, 91, 43][1]
[50, 51, 56, 68, 56, 100, 53, 52][1]
[55, 73, 80, 89, 100, 94, 53, 37][1]
[58, 73, 75, 73, 100, 95, 51, 36][1]
[48, 75, 72, 72, 81, 100, 45, 36][1]
[52, 57, 58, 60, 52, 100, 63, 42][1]
[59, 81, 99, 95, 100, 90, 57, 37][1]
[61, 69, 79, 85, 91, 100, 51, 32][1]
[51, 62, 90, 100, 96, 58, 46, 21][1]
[28, 55, 54, 50, 55, 100, 68, 43][1]
[33, 54, 54, 62, 84, 100, 52, 45][1]
[33, 45, 61, 100, 98, 52, 40, 32][1]
[27, 57, 54, 62, 78, 100, 55, 38][1]
[58, 82, 100, 90, 80, 58, 46, 42][1]
[36, 44, 57, 99, 100, 58, 46, 34][1]
[45, 45, 38, 43, 98, 100, 58, 34][1]
[29, 52, 55, 55, 59, 100, 69, 50][1]
[55, 68, 63, 69, 100, 74, 45, 38][1]
[73, 83, 100, 88, 87, 74, 65, 53][1]
[55, 73, 87, 97, 100, 91, 53, 53][1]
[61, 82, 100, 96, 98, 71, 67, 31][1]
[53, 55, 56, 66, 100, 96, 45, 31][1]
[49, 55, 83, 91, 98, 100, 65, 54][1]
[51, 52, 52, 60, 60, 100, 95, 46][1]
[46, 57, 61, 90, 100, 53, 40, 26][1]
[28, 30, 58, 100, 99, 58, 46, 28][1]
[52, 61, 65, 36, 96, 100, 56, 48][1]
[52, 51, 44, 63, 60, 72, 100, 60][1]
[51, 50, 47, 50, 52, 100, 82, 54][1]
[29, 25, 69, 78, 82, 95, 100, 43][1]
[27, 53, 67, 73, 85, 100, 70, 42][1]
[36, 52, 64, 64, 59, 100, 51, 35][1]
[37, 71, 72, 74, 81, 83, 100, 39][1]
[53, 61, 63, 68, 100, 81, 50, 31][1]
[28, 58, 66, 67, 100, 69, 42, 28][1]
[28, 35, 78, 85, 87, 91, 100, 68][1]
[61, 61, 47, 100, 94, 76, 48, 29][1]
[34, 47, 53, 64, 74, 81, 100, 54][1]
[32, 54, 72, 70, 62, 100, 63, 35][1]
[32, 70, 69, 58, 100, 65, 54, 39][1]
[34, 51, 68, 67, 67, 100, 65, 53][1]
[34, 50, 77, 94, 95, 100, 53, 36][1]
[47, 53, 66, 73, 100, 65, 42, 38][1]
[56, 86, 99, 88, 100, 90, 46, 46][1]
[53, 53, 90, 100, 93, 75, 41, 28][1]
